name,location,location_updated,review_title,review_content,date,date_updated,helpful_vote,vote_count,products_used,consumer_tips,overall_rating,service_rating,value_rating,shipping_rating,returns_rating,quality_rating
Noelia R.,New Jersey 1 review 2 helpful votes,New Jersey,Horrible warranty,Nike supposedly has a two year warranty but it starts when the shoe was manufactured not when you purchased it. Basically you can buy a pair today and they could be falling apart 6 months later and they will not honor the warranty if it was made over 2 years ago.How am I to know as a consumer when the shoe was manufactured? I can tell you when I purchased it how much it cost and that it's defective. They should put an expiration date on your receipt so you can shop for their product as you would milk. Both pairs are less than 2 years old,September 26 2024,26/9/2024,Helpful (2),2,,,1,2,1,5,1,2
Luisa R.,Texas 1 review 0 helpful votes,Texas,"HORRIBLE SERVICE, DO NOT RECOMMENED!","HORRIBLE CUSTOMER SERVICE! The process to speak to a manager as if they're some God, is freaking sad! You are not important that I have to go through all your unprofessional workers! All they do is hang up! Orders are not complete when arrived, and still yet, not have received my items! Tried to change a order right after I submitted, and that process is horrible too! Nike product is great, but not worth the BS you have to go through just to get some assistance from someone that can actually help!",October 10 2024,10/10/2024,Helpful (0),0,,GET SOME PROFESSIONAL EMPLOYESS!!!!! LEARN TO ACUTALLY HELP THE CUSTOMERS!! SEND MISSING ITEMS FROM ORDERS!!!!!!!!!!!!,1,1,0,0,0,0
Sykness g.,Thailand 1 review 0 helpful votes,Thailand,Shocking Incompetence by Nike Thailand's Customer Service (Nike Online Apps),"As a loyal and long-time buyer from Nike, I am appalled by the incompetence of Nike's Thailand customer service team through the Nike Apps Online. They should be held accountable for their poor performance. Despite my clear right to a 2-year warranty, they continuously refuse to honor it, demonstrating a complete lack of skill and respect for customers. This team needs to be either retrained, punished, or fired. Their refusal to address legitimate issues is unacceptable and goes against Nike's standards. Avoid dealing with Nike Thailand if you expect any real support.",July 7 2024,7/7/2024,Helpful (0),0,SNEAKERs,"I am writing to formally express my deep dissatisfaction and frustration with the handling of my recent Nike By You order issue by your Thailand customer service team. I placed an order, which arrived with a significant manufacturing defect. Despite clear evidence that the problem stems from poor factory craftsmanship, your team in Thailand has repeatedly refused to acknowledge the issue or facilitate a return. I need replacement or Full REFUND !!!",1,0,0,0,0,0
Kathy B.,Colorado 1 review 0 helpful votes,Colorado,"Terrible Experience, Start to Finish","Do not trust this company with your data or your money. If you are not a member, they make you pay return shipping for online orders. So a pair of shoes can cost 25% of the shoe purchase amount or more to return. The alternative is to get a membership, which they will use to sell your data and market to you, despite all of your efforts to avoid both of irritants. Their products are not worth the hype or the money. It feels like they are telling you to go f*** yourself if you don't just join the cult - er, club. No thanks. In this day and age, there are many alternatives to that criminal organization.",June 25 2024,25/6/2024,Helpful (0),0,Do not give them your money. They don't care about your experience or how bad they look compared to their competition.,Do not give them your money. They don't care about your experience or how bad they look compared to their competition.,1,1,1,1,1,1
Ronald M.,Michigan 1 review 2 helpful votes,Michigan,Nike shotty workmanship and no warranty.,I spent over $100 on this Tiger Woods Nike golf shirt and I'm wearing it one day and it starts falling apart. They put a seam in the back and then used a black piece of adhesive tape to connect the two back panels as well as the collar and the shirt literally fell apart. Nike will do nothing about it. It's the last Nike product I will ever buy. I have bought $10 shirts that have lasted longer than this $100 + shirt.,March 6 2024,6/3/2024,Helpful (2),2,,,1,0,1,0,1,1
Christina W.,New York 1 review 0 helpful votes,New York,Airsole popped after month on $130 sneakers,"Purchased Nike air 270. The air sole popped after a month. Sent them back to Nike for warranty and they denied. Absolutely despicable company, will be spending my families money at other athletic suppliers moving forward",February 23 2024,23/2/2024,Helpful (0),0,Nike air max 270,Do not spend your money on their sub-parr products - they don�t stand behind them,1,1,1,1,2,1
Joe G.,Wisconsin 2 reviews 1 helpful vote,Wisconsin,Never Nike,"Nike is okay to look at but they disintegrate right before your eyes, seriously never wear more than 6 months weather you use a lot or hardly at all… they lose their structural integrity so quickly and this can lead to all kinds of injuries to Feet, Knees and Hips. They are not well made!",February 9 2024,9/2/2024,Helpful (1),1,,,1,0,0,0,0,0
Staci S.,Colorado 1 review 0 helpful votes,Colorado,Doesn't stand behind their product,"Bought a 3 pack of Nike underwear. One pair was poorly constructed- missed the fabric with the seam, so they wasn't usable. Called Nike customer service and they refused to do anything to fix their crappy product.",February 29 2024,29/2/2024,Helpful (0),0,,,1,1,1,0,1,1
Hussein M.,Canada 3 reviews 52 helpful votes,Canada,Never Again,"Do not take the risk to deal with Nike on delivery. After 45 days of placing the an order with Nike Canada and after they collected my money and after 4 times of contacting them, they are not able to confirm when will my order will be delivered and give me an open ended delivery period",May 21 2024,21/5/2024,Helpful (1),1,,Men shoes,1,0,0,0,0,0
Angela D.,District of Columbia 3 reviews 0 helpful votes,District of Columbia,"Used to be the bomb, now they are mediocre at best.","I'm being fair when scoring Nike a 3 out of 5, I used to love their gear, but now it seems that the quality just isn't there. Quality definitely gone downhill and for that reason, my rating shows that. I would have loved to give ya a 5 out 5. Sorry x.",February 9 2024,9/2/2024,Helpful (0),0,"sort it out nike, you used to be quality, built to last, now your trainers break within a matter of months.",Trainers,3,5,3,1,0,1
